MR_ID,smiles,SRC
2240068,CC(=O)c1ccc2c(c1)/C(=C/c1cc3c([nH]1)CCCC3)C(=O)N2,4.75055703855742
1274,CC(=O)c1cccc(NC(=O)c2cc3ccc(O)c(O)c3oc2=N)c1,3.36821421942707
4354555,CC(C)(C)NC(=O)NC1Nc2nc(N)ncc2C=C1c1cc(C(F)(F)F)cc(C(F)(F)F)c1,1.3000002024454198
267,CC(C)(C)NC(=O)Nc1nc2nc(N)ncc2cc1-c1c(Cl)cccc1Cl,6.744727494896691
4199544,CC(C)(C)c1ccc(Oc2cccc(CN(C(=O)c3cccc(C(=N)N)c3)C(CC3CCCCC3)C(=O)NCC(N)=O)c2)cc1,4.6382721639824105
4199547,CC(C)(C)c1ccc(Oc2cccc(CN(C(=O)c3cccc(C(=N)N)c3)C(CCCNC(=N)N)C(=O)NCC(N)=O)c2)cc1,4.90308998699194
4199548,CC(C)(C)c1ccc(Oc2cccc(CN(C(=O)c3ccc(C(=N)N)cc3)C(Cc3c[nH]c4ccccc34)C(=O)NCC(N)=O)c2)cc1,4.85387196432176
4199545,CC(C)(C)c1ccc(Oc2cccc(CN(C(=O)c3cccc(C(=N)N)c3)C(Cc3ccc(N)cc3)C(=O)NCC(N)=O)c2)cc1,4.3467874862246605
4199546,CC(C)(C)c1ccc(Oc2cccc(CN(C(=O)c3cccc(C(=N)N)c3)C(Cc3cccc4ccccc34)C(=O)NCC(N)=O)c2)cc1,4.74472749489669
2588,CC(C)(C)c1ccc(C(=O)Nc2ncnc3c2c(-c2ccccc2)nn3C(C)(C)C)cc1,6.36653154442041
8358,CC(C)(C)c1ccc(C(=O)n2c3cc(O)c(O)cc3c3c(Br)cc(O)c(O)c32)cc1,4.9208187539523705
8356,CC(C)(C)c1ccc(C(=O)n2c3cc(O)c(O)cc3c3ccc(O)c(O)c32)cc1,6.15490195998574
1439,CC(C)(C)c1ccc(-c2nn(C(C)(C)C)c3ncnc(N)c23)cc1,5.5957257243798
1825,CC(C)(C)n1cc(-c2ccc(Oc3ccc(N)cc3)cc2)c2c(N)ncnc21,7.1249387366083
1824,CC(C)(C)n1cc(-c2ccc(Oc3ccc(O)cc3)cc2)c2c(N)ncnc21,6.602059991327961
1826,CC(C)(C)n1cc(-c2ccc(Oc3cccc(N)c3)cc2)c2c(N)ncnc21,7.07058107428571
1822,CC(C)(C)n1cc(-c2ccc(Oc3ccccc3)cc2)c2c(N)ncnc21,6.21467016498923
1441,CC(C)(C)n1nc(COc2cccc3ccccc23)c2c(N)ncnc21,7.34678748622466
14367,CC(C)(C)n1nc(Cc2ccc3ccccc3c2)c2c(N)ncnc21,7.69897000433602
1440,CC(C)(C)n1nc(Cc2cccc3ccccc23)c2c(N)ncnc21,7.09870807422676
1346,CC(C)(C)n1nc(-c2ccc(Cl)cc2)c2c(N)ncnc21,6.68075537152268
1791,CC(C)(C)n1nc(-c2ccc(Oc3ccccc3)cc2)c2c(N)ncnc21,6.21467016498923
1438,CC(C)(C)n1nc(-c2ccc3c(c2)OCO3)c2c(N)ncnc21,6.5553491487468385
1434,CC(C)(C)n1nc(-c2ccc3ccccc3c2)c2c(N)ncnc21,7.41195437047216
1437,CC(C)(C)n1nc(-c2cccc(OCc3c(Cl)cccc3Cl)c2)c2c(N)ncnc21,5.20446769648675
1436,CC(C)(C)n1nc(-c2cccc(OCc3ccccc3)c2)c2c(N)ncnc21,6.369964306007461
1435,CC(C)(C)n1nc(-c2cccc(Oc3ccccc3)c2)c2c(N)ncnc21,5.6259059864969005
1433,CC(C)(C)n1nc(-c2cccc3ccccc23)c2c(N)ncnc21,7.882605827296211
11064,CC(C)(C)n1nc(-c2ccccc2)c2c(NC(=O)C3C=CC=C3)ncnc21,5.30102999566398
11067,CC(C)(C)n1nc(-c2ccccc2)c2c(NC(=O)C3CCC3)ncnc21,4.9208187539523705
11065,CC(C)(C)n1nc(-c2ccccc2)c2c(NC(=O)C3CCCCC3)ncnc21,4.69897000433602
11066,CC(C)(C)n1nc(-c2ccccc2)c2c(NC(=O)c3ccccc3)ncnc21,4.30102999566398
11068,CC(C)(C)n1nc(-c2ccccc2)c2c(NC(=O)c3ccco3)ncnc21,3.82390874094432
1388,CC(C)(NC(=O)CCc1ccc(OCC(=O)O)c(P(=O)(O)O)c1)c1ccc(OCC2CCCCC2)c(C(N)=O)c1,4.45099673797421
4211319,CC(C)(Nc1nc(NO)nc(Nc2ccc3ncsc3c2)n1)c1ccccc1,5.744727494896691
4211312,CC(C)(Nc1nc(O)nc(Nc2ccc3ncsc3c2)n1)c1ccccc1,5.36653154442041
373,CC(C)(S)[C@H](NC(=O)[C@@H](N)Cc1ccc(O)cc1)C(=O)N[C@@H](Cc1ccc(O)cc1)C(=O)NCC(=O)N[C@@H](CO)C(=O)N[C@@H](Cc1ccccc1)C(=O)N[C@@H](CS)C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](CCCCN)C(N)=O,5.27572413039921
378,CC(C)(S)[C@H](NC(=O)[C@@H](N)Cc1ccc(O)cc1)C(=O)N[C@@H](Cc1ccc2ccccc2c1)C(=O)NCC(=O)N[C@@H](CO)C(=O)N[C@@H](Cc1ccccc1)C(=O)N[C@@H](CS)C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](CCCCN)C(N)=O,5.5686362358410095
4299519,Cc1cc(-c2cc(OC(=O)C(C)C)ccc2Cl)cc2nnc(Nc3ccc(OCCN4CCCC4)cc3)nc12,5.0
